Source,Target
'Q597','AUTH001'
'Q77','AUTH001'
'Q2634','AUTH001'
'Q739','AUTH001'
'Q36600','AUTH001'
'Q45','AUTH001'
'Q298','AUTH001'
'Q414','AUTH001'
'Q60','AUTH001'
'Q298','AUTH001'
'Q60','AUTH001'
'Q61','AUTH001'
'Q487988','AUTH001'
'Q8826','AUTH001'
'Q33959','AUTH001'
'Q298','AUTH001'
'Q8826','AUTH001'
'Q60','AUTH001'
'Q8678','AUTH001'
'Q414','AUTH001'
'Q298','AUTH001'
'Q842360','AUTH001'
'Q12161577','AUTH001'
'Q414','AUTH001'
'Q2561339','AUTH001'
'Q1486','AUTH001'
'Q101081','AUTH001'
'Q2634','AUTH001'
'Q298','AUTH001'
'Q3480608','AUTH001'
'Q1486','AUTH001'
'Q414','AUTH001'
'Q597','AUTH001'
'Q45','AUTH001'
'Q414','AUTH001'
'Q298','AUTH001'
'Q1486','AUTH001'
'Q1492','AUTH001'
'Q717','AUTH001'
'Q3861','AUTH001'
'Q298','AUTH001'
'Q60','AUTH001'
'Q241','AUTH001'
'Q3667188','AUTH001'
'Q60','AUTH001'
'Q298','AUTH001'
'Q60','AUTH001'
'Q60','AUTH001'
'Q60','AUTH001'
'Q64','AUTH001'
'Q1486','AUTH001'
'Q597','AUTH001'
'Q1486','AUTH001'
'Q414','AUTH001'
'Q1486','AUTH001'
'Q1486','AUTH001'
'Q189043','AUTH001'
'Q1486','AUTH001'
'Q2163769','AUTH001'
'Q60','AUTH001'
'Q1486','AUTH001'
'Q60','AUTH001'
'Q60','AUTH001'
'Q1486','AUTH001'
'Q60','AUTH001'
'Q1486','AUTH001'
'Q414','AUTH001'
'Q1486','AUTH001'
'Q487988','AUTH001'
'Q1390081','AUTH001'
'Q60','AUTH001'
'Q40584','AUTH001'
'Q408','AUTH001'
'Q975','AUTH001'
'Q61','AUTH001'
'Q3480608','AUTH001'
'Q495','AUTH001'
'Q60','AUTH001'
'Q60','AUTH001'
'Q298','AUTH001'
'Q2887','AUTH001'
'Q60','AUTH001'
'Q60','AUTH001'
'Q2164117','AUTH001'
'Q2164117','AUTH001'
'Q298','AUTH001'
'Q495','AUTH001'
'Q52607','AUTH001'
'Q414','AUTH001'
'Q60','AUTH001'
'Q1563','AUTH001'
'Q241','AUTH001'
'Q241','AUTH001'
'Q414','AUTH001'
'Q1486','AUTH001'
'Q414','AUTH001'
'Q2164117','AUTH001'
'Q1486','AUTH001'
'Q52607','AUTH001'
'Q60','AUTH001'
'Q2887','AUTH001'
'Q2164117','AUTH001'
'Q60','AUTH001'
'Q2164117','AUTH002'
'Q60','AUTH002'
'Q414','AUTH003'
'Q1486','AUTH003'
'Q414','AUTH003'
'Q1486','AUTH003'
'Q1486','AUTH003'
'Q1486','AUTH003'
'Q1486','AUTH003'
'Q414','AUTH003'
'Q414','AUTH003'
'Q1486','AUTH003'
'Q1486','AUTH003'
'Q414','AUTH003'
'Q2164117','AUTH003'
'Q414','AUTH003'
'Q414','AUTH003'
'Q8678','AUTH003'
'Q414','AUTH003'
'Q1486','AUTH003'
'Q1486','AUTH003'
'Q414','AUTH003'
'Q1486','AUTH003'
'Q414','AUTH003'
'Q414','AUTH003'
'Q1486','AUTH003'
'Q2164117','AUTH003'
'Q414','AUTH003'
'Q414','AUTH003'
'Q1486','AUTH003'
'Q1486','AUTH003'
'Q1486','AUTH003'
'Q414','AUTH003'
'Q1486','AUTH003'
'Q414','AUTH003'
'Q414','AUTH003'
'Q1486','AUTH003'
'Q1486','AUTH003'
'Q1486','AUTH003'
'Q298','AUTH003'
'Q414','AUTH003'
'Q77','AUTH003'
'Q414','AUTH003'
'Q1486','AUTH003'
'Q2164117','AUTH003'
'Q414','AUTH003'
'Q1486','AUTH003'
'Q2164117','AUTH003'
'Q1486','AUTH003'
'Q1486','AUTH003'
'Q1486','AUTH003'
'Q2164117','AUTH003'
'Q1486','AUTH003'
'Q1486','AUTH003'
'Q1486','AUTH003'
'Q1486','AUTH003'
'Q1486','AUTH003'
'Q52607','AUTH003'
'Q1486','AUTH003'
'Q1486','AUTH003'
'Q1486','AUTH003'
'Q2164117','AUTH003'
'Q1486','AUTH003'
'Q1486','AUTH003'
'Q298','AUTH003'
'Q2164117','AUTH003'
'Q1486','AUTH003'
'Q101081','AUTH003'
'Q2164117','AUTH003'
'Q1486','AUTH003'
'Q414','AUTH003'
'Q1486','AUTH003'
'Q414','AUTH004'
'Q1486','AUTH004'
'Q1486','AUTH004'
'Q1486','AUTH005'
'Q1486','AUTH005'
'Q414','AUTH005'
'Q1486','AUTH005'
'Q1486','AUTH005'
'Q1486','AUTH005'
'Q1486','AUTH005'
'Q1486','AUTH005'
'Q60','AUTH005'
'Q2164117','AUTH005'
'Q2164117','AUTH005'
'Q414','AUTH005'
'Q1486','AUTH005'
'Q1486','AUTH005'
'Q2164117','AUTH005'
'Q1486','AUTH005'
'Q1486','AUTH005'
'Q1486','AUTH005'
'Q414','AUTH005'
'Q1486','AUTH005'
'Q1486','AUTH005'
'Q1486','AUTH005'
'Q1486','AUTH005'
'Q414','AUTH005'
'Q1486','AUTH005'
'Q414','AUTH005'
'Q414','AUTH005'
'Q2164117','AUTH005'
'Q1486','AUTH005'
'Q1486','AUTH005'
'Q414','AUTH005'
'Q1486','AUTH005'
'Q414','AUTH005'
'Q1486','AUTH005'
'Q1486','AUTH005'
'Q1486','AUTH005'
'Q1486','AUTH005'
'Q1486','AUTH005'
'Q597','AUTH005'
