Id,Label,Type
'Q101081','Provence','Location'
'Q2163769','California','Location'
'Q2887','Santiago','Location'
'Q1390081','Santa Teresa del Tuy','Location'
'Q33959','Nice','Location'
'Q842360','Puerto Rico','Location'
'Q40584','San Fernando','Location'
'Q8678','Rio de Janeiro','Location'
'Q3667188','Cherbourg','Location'
'Q36600','The Hague','Location'
'Q1486','Buenos Aires','Location'
'Q408','Australia','Location'
'Q2634','Naples','Location'
'Q77','Uruguay','Location'
'AUTH002','vo_to_sister_extra','Author'
'Q495','Turin','Location'
'AUTH004','woolf','Author'
'Q64','Berlin','Location'
'Q717','Venezuela','Location'
'Q2561339','Gracias','Location'
'Q975','San Antonio','Location'
'Q8826','Palma','Location'
'Q241','Cuba','Location'
'Q60','New York City','Location'
'Q1492','Barcelona','Location'
'AUTH001','mistral','Author'
'Q61','Washington D.C.','Location'
'Q414','Argentina','Location'
'Q189043','Petrópolis','Location'
'AUTH003','camus','Author'
'Q298','Chile','Location'
'Q1563','Havana','Location'
'Q739','Colombia','Location'
'Q3861','Doha','Location'
'AUTH005','joygasset','Author'
'Q597','Lisbon','Location'
'Q45','Portugal','Location'
'Q487988','St. Augustine','Location'
'Q52607','Mar del Plata','Location'
'Q2164117','San Isidro','Location'
'Q12161577','Cueva Zuloaga','Location'
'Q3480608','Sestiere of Rapallo','Location'
