location,wikidata_countries,wikidata_city
Mivoe - MI,,
UusBoA,,
Vietoria,,
LisBoA,,Q597
"Monrovia,",,Q3748
2PP.,,
Latinidad,,
Brazil,Q155,Q2844
Uruguay,Q77,
Napoles,,Q2634
Victoria,,
de la Argentina,,
MANUSCRITA,,
Querida,,
Guillén,,
Colombia,Q739,Q2733738
NvEsre,,
Mexico,Q96,
Ciudad Lineal,,
Septiembre,,
Lo de la N.Y,,
Cuba,Q241,
Consulado de Chile,,
Petropolis,,
Votoya,,
La Haya,,Q36600
como de Gabr,,
Paris,,
Victo,,
Feonesig,,
Portugal,Q45,
Chile,Q298,
Ud,,
Argentina,Q414,
Dantas,,
Franijeir,,
LAPIZ,,
Rostyn,,
N.Y.,,Q60
Nueva York,,Q60
WasuincTon D.C.,,Q61
DE CAMINO,,
France,Q142,
PRINCIPIOS,,
DE 1939,,
Atlanta,,
St. Augustine,,Q487988
Porque,,
de Europa,,
Noes,,
Palma,,Q8826
Kent en la,,
nbajada,,
Consejero,,
Niza,,Q33959
Albania,Q222,
MECANOGRAFIADA,,
Rio de Janeiro,,Q8678
Pentecostés,,
de Francia,,
Kent,,
Llega,,
el Brasil,,
h4azmelo,,
Tijuca,,
Rio de,,
Janeiro,,Q8678
Nrterot,,
Vict.,,
Oiga,,
Puerto Rico,,Q842360
Madrid,,
Zuloaga,,Q12161577
Gracias,,Q2561339
CON LA,,
RUE D’Arrors,,
Buenos Aires,,Q1486
Provence,Q101081,
de la Liga,,
Afectos de Palma,,
Vienen de B,,
RAPALLO,,
La Rey,,
Ilevaran,,
Rapallo,,Q3480608
VILLA VICTORIA,,
Testimonios,,
Distinguida,,
A VO,,
SAN Martin 689,,
BUENOS ArREs,,
RepUsiica,,
CAPODIMONTE,,
NAPoL_es,,
MANUscRITA,,
Parfs,,
el San J,,
del Sur,,
Argentina,Q414,
Guirdeme,,
Gano,,
Barcelona,,Q1492
United States,Q30,Q47282
Venezuela,Q717,
Doha,,Q3861
Husertson,,
Ny,,Q60
Mallea,,
JuLio,,
Guayaquil,,
Cuando en B,,
Cuba,Q241,
Cherburgo,,Q3667188
Francia,,
Barnard College,,
Colombia,Q739,
VICTORIA,,
San IsipRO,,
Dorset,,
Lawrence de Arabia,,
New York,,Q60
Buenos Meee,,
United States,Q30,
Berlin,,Q64
Lisboa,,Q597
Ilegue,,
DE COSTADO,,
POSDATA MANUSCRITA,,
BRASIL,,
Victoria Kent,,
DESPUES DE 1955,,
ConsuLapo DE CHILE,,
PeTROpOLis},,Q189043
Buenos AIRES,,Q1486
ConsuLapo,,
DE CHILE,,
PeTROPOLIS,,
Monrovia,,
CaLiFoRNIA,,Q2163769
NY,,Q60
San Isrpro,,
Busso,,
Ninguna,,
San Juan de la,,
Cruz,,Q20143705
Las Confesiones,,
San Agustin,,Q487988
Santa Teresa,,Q1390081
San Miguel,,
MECANO-,,
GRAFIADA,,
Olivos,,
San Fernando,,Q40584
Australia,Q408,
Y MANUSCRITO,,
San Antonio,,Q975
Washington,,Q61
Argentina,Q414,
Laos,Q819,Q65
DE SUR,,
San Martin,,
AGREGADO MANUS,,
CRITO,,
PP,,
Buenos Ares,,
Turin,,Q495
Buenos Ai-,,
POSIBLEMENTE,,
N.Y,,Q60
SIN FIRMA,,
LAPIz,,
San Isipro,,
Santiago,,Q2887
VILLA OCAMPO,,
Sali,,Q2654892
de Mar del Plata,,
Montevideo,,
ESCRITA,,
Nudelman,,
Iria,,
Rico,,
Villa Victoria,,
Matheu,,
Arenales,,
Mar del Plata,,Q52607
Morocco,Q1028,
NUSCRITA,,
Rostrn,,
Habana,,Q1563
San Isidro,,Q2164117
Prov- de Buenos Aires,,
Esta AMERICA,,
GABRIELA,,
Almuerzo,,
Tago,,
Virginia,,
