name,wikidata
Vino,
Egon,Q19409885
Diez Canefo,
Pia,
Rijo,
Jo que elid,
Tino le col,
LISBOA,
Victoria Ocampo,Q72790
Gabriela,
19 Abril,
Barbara,
L. Ang,
Gabriela,
Esta América,
Tan querida Vic,
Vic,
Tbaftez,
Dénde,
Dimelo,
Doris Dana,Q2880671
Tuya,
Qa,
Esta AMErIc,
Perdone Ud.,
Crea Ud,
Maria,
Afectos de Palma,
Manrip,
Palma Guillén y Sánchez,Q1308675
Fue Ud,
Al parecer,
Dejé Ud.,
Victoria,
Tiene Ud.,
Parte,
Alberto Sanchez-Diaz,Q73325309
Cara,
Recibi SUR,
Ling,
Figura en la,
Cara Votoya:,
Maria,
Rosa,
Johan August Gabrielsson,Q21513658
Ahora sera,
Naépoles,
Luis Walter Alvarez,Q178344
Rosa,
Haya- es el Pres,
Olga,
Acevedo,
M. R. debe,
Napoles,
Rees,
Esta AMErIc,
Nox,
Ella,
Echenique de Errazuriz,
Carlos,
6,
Errazuriz,
Subhamoy Das,Q41728381
Cudndo Ud,
Ng,
Julio Romero de Torres,Q1712402
Gabriel,
Blanca,
Juan Subercaseaux,Q939695
Barbaridad,
Ademas,
Louis,
Zokovsky,
Archibald McLeish,
Ahora el poeta,
Asi quiere aparecer,
Carissima Votoya:,
Pero lo que,
Alusién al ultimo,
Frugoni,Q102289917
Tuvo,
Nawheis,
Clerto,
Perdone la digre,
Susana Giménez,Q5273120
Josep Carner,Q2600983
Trabaja con Victoria,
Votoya,
Csaba Deseo,Q904275
Linda Vic,
Connie,
Ambas Biitiaiare,
Doris,
Lucila Vianna da Silva,Q6697204
Doris es la,
Esta AMErica,
Carifios de Doris,
Nrrerot,
Kent,
V. Kent,
Esta Aus,
MERIC,
Francesco Francia,Q260057
Hazme,
Pero Budmani,Q3511191
Alfonso Reyes,
Esta AMEnric,
Gabriela,
- PD,
Sateva,
Eduardo Mallea,Q324283
Cope,
Pasalo,
Madre María Rosa,Q24205865
Thomas Merton,Q335011
Semilla de contemplacién,
V. Vogt,
Hermann Hesse,Q25973
Thomas Mann,Q37030
Johann Georg Faust,Q76918
Louis Bromfield,Q500042
Lin Yutang,
Connelly Cyril,
Victoria Ocampo,Q72790
Albert Camus,Q34670
Marie-Victorin,Q2596174
Cirle,
José Bi,
Nenr,
Awat Ratanapintha,Q25539491
SABE,Q11242372
Si Ud,
Mire Ud,
Cuando Ud.,
Si en Ud,
Viera Ud.,
B.R. Pati,Q47124129
Aun,
Dante Alighieri,Q1067
Cuando,
Mites,
Seguig,
Presién,
Continte lo que Ud,
Perdone,
Mi Victoria,
Esta AMERIca Nugsp,
Dominique Braga,
Victoria Ocampo,Q72790
Saludo en Ud,
Gabriela Mistral,Q80871
Admirada Victoria Ocampo,
Podria Ud,
Vagamente comprendo que Ud,
José Ortega y Gasset,Q153020
Naná Vasconcelos,Q707607
Coen - MiS2z,
Jean Carlos Dondé,Q447651
Dimelp,
Dofia Victoria Ocampo,
M. Rosa,
Perdénala,
el Caballo,
Mira la consciencia,
al Cuco,
Coco,
Eduardo Cruz,Q3048320
Pero hallare-,
Patiparn Patavekarn,Q4919324
Nadie,
R. Cuando,
Ll Se,
Esta AmMErica,
Iba,
Victoria,
CarTAs,
Esta AMERica,
Mehahablado de SUR,
Pere Nicolau,Q11698899
Roger Caillois,Q430765
Guerra Mun wu,
Rua Io de Marco,
Pierre,
Aho-,
Sun Ra,Q354508
¢Cuando,
Olvidé precisamente,
Olvida al pobre,
Queridisima Gabriela,
Rosita Checel,
Sue en -racil,
Verieé Rosa Dliver,
Sue ne custe,
Esra América Nupg,
Casi son la Amétic,
Ahi tiene Ud,
Victoria Kent,Q2743181
Guillermo de Torre,Q5616311
Mariano Latorre,Q359880
Esra AmEric,
Tam,
Defié hs ce,
Mis2-Cao,
Carte Buizatpe,
Querida Vict,
Yin Yin,
Juan Miguel Godoy Mendoza,Q56318026
Hace Ud.,
Ahora Dujovne:,
Michał Antoni Zaleski,Q11778581
Horan y Brenes Garcia,
Mika Ojala,Q929019
Lud son of Heli,Q2309524
Fren,
Ivo ¢,
Gio,
Ovi,
Teneo tue,
Desce,
Luezo,
el I0,
Anicuo,
Van las copias,
Reynolds,
Ginebra,
Giuseppe Prezzolini,Q1227513
Lué,Q3840959
Llevo,
Tu elquina,
Bartolomé Mitre,Q314362
Ahora es tu,
Habria que saberlo,
COriil,
Anita,
Ahora,
Creo en Cassan,
Chris Hoy,Q310383
Alita,Q65876826
Cara Votoya,
Supongo que Ud,
Emily Brontë,Q80137
Su Gabr,
Ray,
Créalo,
José,Q109781247
Esta AMERIC4,
Siga siendo Ud,
Bean Pena,
Gabrielg,
Afectos de Palma Guillén,
BrastL,
Jo,
Sic,
Nos,
Nocencia,
Lo,
Tu,
Lucila Vianna da Silva,Q6697204
Gabriela Mistral,Q80871
Todo el mujerio,
de Tala,
Tala Tudu,Q76625636
Lo de,
Mas,Q62012349
Chris,
D. H. Lawrence,Q34970
Jai,
Peut-étre,
Winston Churchill,Q8016
Winston Chure,
Juego,
Pierre Drieu La Rochelle,Q325974
Estas,
Si -irge,
Parfs,
Marta Rossi,Q90589908
Ilena de nostalgias,
de J. Alfred Prufrock,
T. S. Eliot,Q37767
Al-,
Uê,Q7129024
Ema Cossio,
Jasmine Villegass,Q237848
Pedro De Alba,Q52156587
Margot Arce de Vázquez,Q6760663
Carifios,
ADJUNTAS,
Querida,
Gracias por,
Te quiere,
Victoria,
Gabriela Mistral,Q80871
Cuando eth de,
Ernest Hemingway,Q23434
Rex,
San Istpro,
Gabriela y Doris,
Dictale,
Viaje,
Carifos,
