Source,Target
'AUTH001','Q19409885'
'AUTH001','Q2880671'
'AUTH001','Q270381'
'AUTH001','Q102289917'
'AUTH001','Q462721'
'AUTH001','Q324283'
'AUTH001','Q335011'
'AUTH001','Q25973'
'AUTH001','Q37030'
'AUTH001','Q500042'
'AUTH001','Q462721'
'AUTH001','Q72790'
'AUTH001','Q72790'
'AUTH001','Q2880671'
'AUTH001','Q2880671'
'AUTH001','Q37030'
'AUTH001','Q3048320'
'AUTH001','Q335011'
'AUTH001','Q25973'
'AUTH001','Q37030'
'AUTH001','Q500042'
'AUTH001','Q72790'
'AUTH001','Q430765'
'AUTH001','Q2743181'
'AUTH001','Q5616311'
'AUTH001','Q359880'
'AUTH001','Q65876826'
'AUTH001','Q109781247'
'AUTH001','Q72790'
'AUTH001','Q72790'
'AUTH001','Q8016'
'AUTH001','Q72790'
'AUTH001','Q72790'
'AUTH001','Q80871'
'AUTH001','Q462721'
'AUTH001','Q23434'
'AUTH001','Q72790'
'AUTH001','Q72790'
'AUTH001','Q80871'
'AUTH001','Q72790'
'AUTH001','Q10934058'
'AUTH001','Q258693'
'AUTH001','Q2743181'
'AUTH001','Q2743181'
'AUTH001','Q72790'
'AUTH002','Q1709049'
'AUTH002','Q80871'
'AUTH002','Q2880671'
'AUTH002','Q80871'
'AUTH002','Q11793322'
'AUTH003','Q34670'
'AUTH003','Q19185'
'AUTH003','Q289215'
'AUTH003','Q34670'
'AUTH003','Q433113'
'AUTH003','Q34670'
'AUTH003','Q34670'
'AUTH003','Q34670'
'AUTH003','Q72790'
'AUTH003','Q34670'
'AUTH003','Q34670'
'AUTH003','Q72790'
'AUTH003','Q72790'
'AUTH003','Q298035'
'AUTH003','Q462721'
'AUTH003','Q4647445'
'AUTH003','Q3439475'
'AUTH003','Q502'
'AUTH003','Q459586'
'AUTH003','Q3047784'
'AUTH003','Q34670'
'AUTH003','Q3509971'
'AUTH003','Q72790'
'AUTH003','Q34670'
'AUTH003','Q72790'
'AUTH003','Q72790'
'AUTH003','Q34670'
'AUTH003','Q430765'
'AUTH003','Q207359'
'AUTH003','Q34670'
'AUTH003','Q72790'
'AUTH003','Q34670'
'AUTH003','Q72790'
'AUTH003','Q72790'
'AUTH003','Q34670'
'AUTH003','Q34670'
'AUTH003','Q72790'
'AUTH003','Q34670'
'AUTH003','Q34670'
'AUTH003','Q34670'
'AUTH003','Q34670'
'AUTH003','Q72790'
'AUTH003','Q34670'
'AUTH003','Q72790'
'AUTH003','Q72790'
'AUTH003','Q34670'
'AUTH003','Q34670'
'AUTH003','Q11985001'
'AUTH003','Q34670'
'AUTH003','Q118936'
'AUTH003','Q118936'
'AUTH003','Q34670'
'AUTH003','Q72790'
