Id,Label
'Q19409885',Egon
'AUTH001',mistral
'Q2880671',Doris Dana
'Q270381',Tuya
'Q102289917',Frugoni
'Q462721',Alfonso Reyes
'Q324283',Eduardo Mallea
'Q335011',Thomas Merton
'Q25973',Hermann Hesse
'Q37030',Thomas Mann
'Q500042',Louis Bromfield
'Q72790',Victoria Ocampo
'Q3048320',Eduardo Cruz
'Q430765',Roger Caillois
'Q2743181',Victoria Kent
'Q5616311',Guillermo de Torre
'Q359880',Mariano Latorre
'Q65876826',Alita
'Q109781247',José
'Q8016',Winston Churchill
'Q80871',Gabriela Mistral
'Q23434',Ernest Hemingway
'Q10934058',Enrique Pezzoni
'Q258693',Lorie
'Q1709049',José Bianco
'AUTH002',vo_to_sister_extra
'Q11793322',Novios
'Q34670',Albert Camus
'AUTH003',camus
'Q19185',George Bernard Shaw
'Q289215',Alejandro Casona
'Q433113',Robert Rossen
'Q298035',Adolfo Bioy Casares
'Q4647445',Arnold Walter Lawrence
'Q3439475',Roger Stéphane
'Q502',Stendhal
'Q459586',René Etiemble
'Q3047784',Edmond Charlot
'Q3509971',Sébastien Bottin
'Q207359',Georges Bataille
'Q11985001',Guillaume Georges-Picot
'Q118936',Rafael Alberti
'Q30875',Oscar Wilde
'Q1409',Caligula
'Q3384200',Pierre Brisson
'Q104607',Andrew Huxley
'Q311169',Graham Greene
'Q468852',Rosa Chacel
'Q61107101',Beauvoir
'Q38392',William Faulkner
'Q34189',Pablo Neruda
'Q184440',Jorge Amado
'Q4281482',Juan Marinello
'Q59076',Marcel Arland
'Q47519771',Jean Camus
'Q1379005',Guy de Rothschild
'Q78494',Arthur Koestler
'Q42156',Henri Bergson
'Q200639',Paul Valéry
'Q35123464',Jean Marx
'Q45723',Jacques Maritain
'Q3081521',Francis Jeanson
'Q368831',Colin Wilson
'Q909',Jorge Luis Borges
'Q40909',Virginia Woolf
'AUTH004',woolf
'Q6050',Anna de Noailles
'Q7199',Marcel Proust
'Q1858007',Waldo Frank
'AUTH005',joygasset
'Q1819994',Leopoldo Marechal
'Q135640',Valery Larbaud
'Q4714498',Alejandro Bustillo
'Q3275117',Mad
'Q379789',Pedro Salinas
'Q4128',Louis Aragon
'Q295830',Paul Claudel
'Q5248733',Manuel Ocampo
'Q133626068',Q133626068
'Q3290728',Marguerite Moreno
'Q193236',Gabriele D'Annunzio
'Q262273',Jean-Michel Frank
'Q151164',André Malraux
'Q155270',Julien Benda
'Q462281',Paul Hazard
'Q1169065',Helene Weyl
'Q3815096',José Ortega Spottorno
'Q1728777',Oliverio Girondo
'Q532041',Norah Lange
'Q4724',Le Corbusier
'Q272',Paul Morand
'Q49747',Q49747
'Q11219893',Rafael Vehils
